name-categories-cast
Guardians of the Galaxy Vol. 3 (2023)-Action,Adventure,Comedy-Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel
De uskyldige (2021)-Drama,Fantasy,Horror-Rakel Lenora Petersen Fløttum,Alva Brynsmo Ramstad,Sam Ashraf,Mina Yasmin Bremseth Asheim
Sundown (2021)-Drama-Tim Roth,Albertine Kotting McMillan,Samuel Bottomley,Charlotte Gainsbourg
Home is Somewhere Else (2022)-Documentary,Animation-
The Offering (2022)-Horror-Nick Blood,Emily Wiseman,Paul Kaye,Allan Corduner
Book Club: The Next Chapter (2023)-Comedy-Jane Fonda,Diane Keaton,Mary Steenburgen,Andy Garcia
Panama (2022)-Action,Thriller-Cole Hauser,Mel Gibson,Mauricio Hénao,Kiara Liz
Mirando al Cielo (2023)-Drama-Julián Fidalgo,Luis Xavier,Estela Cano,Alexis Orosco
¿Cómo matar a Mamá? (2023)-Comedy,Drama-Diana Bovio,Ximena Sariñana,Blanca Guerra,Erick Elias
Shanhai Jing: Zaijian Gaoshou (2022)-Animation,Adventure,Comedy-"Cong Liu,Yi-ai Ai,Kai Wang,Zhe Zhang"
Love Again (2023)-Comedy,Drama,Romance-Priyanka Chopra Jonas,Sam Heughan,Russell Tovey,Celia Imrie
Fast X (2023)-Action,Adventure,Crime-Vin Diesel,Jordana Brewster,Tyrese Gibson,Michelle Rodriguez
Titanic 666 (2022)-Horror,Mystery,Thriller-Keesha Sharp,Jamie Bamber,Lydia Hearst,AnnaLynne McCord
The Little Mermaid (2023)-Adventure,Family,Fantasy-"Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem"
The Black Demon (2023)-"Horror,Sci-Fi,Thriller"-Josh Lucas,Fernanda Urrejola,Héctor Jiménez,Julio Cesar Cedillo
The Boogeyman (2023)-Horror,Mystery,Thriller-Sophie Thatcher,Chris Messina,David Dastmalchian,Vivien Lyra Blair
"Spider-Man: Across the Spider-Verse (2023)"-Animation,Action,Adventure-Shameik Moore,Hailee Steinfeld,Oscar Isaac,Jake Johnson
The Flash (2023)-Action,Adventure,Fantasy-Ben Affleck,Michael Shannon,Michael Keaton,Temuera Morrison
No Hard Feelings (2023)-Comedy-"Jennifer Lawrence,Natalie Morales,Matthew Broderick,Ebon Moss-Bachrach"
Elemental (2023)-Animation,Adventure,Comedy-Leah Lewis,Mamoudou Athie,Ronnie Del Carmen,Shila Ommi
Indiana Jones and the Dial of Destiny (2023)-Action,Adventure-"Harrison Ford,Mads Mikkelsen,Boyd Holbrook,Phoebe Waller-Bridge"
Ruby Gillman, Teenage Kraken (2023)-Animation,Action,Adventure-Toni Collette,Jane Fonda,Annie Murphy,Will Forte
Harold and the Purple Crayon (2023)-Animation,Family,Fantasy-Zachary Levi,Zooey Deschanel,Camille Guaty,Lil Rel Howery
Insidious: The Red Door (2023)-Horror,Mystery,Thriller-Ty Simpkins,Patrick Wilson,Rose Byrne,Hiam Abbass
The Shadow of Fire (2023)-Action,Thriller-Kelvin Hair,Shantol Jackson,Samuel Joslin,Stella Storm
The Portable Door (2023)-Fantasy-Christoph Waltz,Patrick Gibson,Damon Herriman,Sophie Wilde
Barbie (2023)-Adventure,Comedy,Fantasy-Margot Robbie,Ariana Greenblatt,Ryan Gosling,Helen Mirren
Oppenheimer (2023)-Biography,Drama,History-Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.
Spray (2023)-Action,Thriller-Tiger Shroff,Hank Strong,Jeff Willy,Kieron L. Dyer
Haunted Mansion (2023)-Comedy,Drama,Family-Rosario Dawson,Winona Ryder,Jamie Lee Curtis,Jared Leto
Alibi.com 2 (2023)-Comedy-Philippe Lacheau,Élodie Fontan,Tarek Boudali,Julien Arruti
The Last Voyage of the Demeter (2023)-Horror-Corey Hawkins,Aisling Franciosi,Liam Cunningham,David Dastmalchian
Mis Tóxicos XV (2023)-Comedy-Valeria Vera,Gerardo Taracena,Paco Luna,Lupita Lara
Untitled Please Don't Destroy Project (2023)-Comedy-Nichole Sakura,Conan O'Brien,Cedric Yarbrough,Bowen Yang
Teenage Mutant Ninja Turtles: Mutant Mayhem (2023)-Animation,Action,Adventure-Giancarlo Esposito,Seth Rogen,Rose Byrne,Paul Rudd
The Nun II (2023)-Horror,Mystery,Thriller-Storm Reid,Bonnie Aarons,Taissa Farmiga,Anna Popplewell
Shazam! The Battle of the God's (2023)-Action-Crepy Only,Diego Ramos Rem,Yordi Calixto God,Peter Dest Forteen
Next Goal Wins (2023)-Comedy,Drama,Sport-Michael Fassbender,Oscar Kightley,Kaimana,David Fane
PAW Patrol: The Mighty Movie (2023)-Animation,Action,Adventure-James Marsden,Mckenna Grace,Kristen Bell,Taraji P. Henson
Trolls Band Together (2023)-Animation,Adventure,Comedy-"Anna Kendrick,Zooey Deschanel,Christopher Mintz-Plasse,Justin Timberlake"
Herseye Ragmen (2022)-Drama-Robert Maaser,Ekin Mert Daymaz,Nihan Büyükagaç,Aslihan Malbora
The Idiots (2023)-Comedy-"Old-Nick,James Hogan,Alex Altman"
Fuck Them All! (2023)-Biography-"Old-Nick,Sophie Fournier,Juan Rodrigues,Janet Priest"
Ghostbusters Sequel (2023)-Adventure,Comedy,Fantasy-Mckenna Grace,Paul Rudd,Carrie Coon,Finn Wolfhard
El Niño Dios (2023)-Family-Ana Lucía Domínguez,Eugenio Siller,Eduardo Yáñez,Fernando Allende
Godzilla x Kong: The New Empire (2024)-"Action,Adventure,Sci-Fi"-Dan Stevens,Rebecca Hall,Brian Tyree Henry,Rachel House
Snow White (2024)-Adventure,Drama,Family-Rachel Zegler,Gal Gadot,Andrew Burnap,Luisa Guerreiro
